week_index,month_index,weekly_mean_error,weekly_p95_error,baseline_mean,baseline_p95,decision
0,0,281.51346,289.669189453125,,,🟢
1,0,292.4514,293.69581909179686,,,🟢
2,0,294.88602,295.46238861083987,,,🟢
3,0,295.87918,296.0612228393555,,,🟢
4,1,297.9038,299.25391998291013,291.0145263671875,295.98483123779295,🟢
5,1,300.25565,301.2978759765625,291.0145263671875,295.98483123779295,🟡
6,1,302.3185,303.12852935791017,291.0145263671875,295.98483123779295,🟡
7,1,304.37103,304.9732299804688,291.0145263671875,295.98483123779295,🟡
8,2,305.52536,306.0337188720703,301.2122497558594,304.8038589477539,🟡
9,2,305.99936,306.17322692871096,301.2122497558594,304.8038589477539,🟡
10,2,306.434,306.70381927490234,301.2122497558594,304.8038589477539,🟡
11,2,308.1424,309.14539489746096,301.2122497558594,304.8038589477539,🟡
12,3,308.71725,309.4016738891602,306.5252990722656,308.8224365234375,🟡
13,3,308.65527,308.93782501220704,306.5252990722656,308.8224365234375,🟡
14,3,307.8271,307.9753448486328,306.5252990722656,308.8224365234375,🟡
15,3,307.26843,307.5511932373047,306.5252990722656,308.8224365234375,🟢
16,4,306.93277,307.23250579833984,308.1170349121094,309.27818450927737,🟢
17,4,308.28607,308.55406951904297,308.1170349121094,309.27818450927737,🟢
18,4,308.09225,308.288591003418,308.1170349121094,309.27818450927737,🟢
19,4,308.0107,308.5968811035156,308.1170349121094,309.27818450927737,🟢
20,5,310.07956,311.4645065307617,307.8304443359375,308.5425003051758,🟡
21,5,312.8128,313.426936340332,307.8304443359375,308.5425003051758,🔴
22,5,314.6167,315.4750946044922,307.8304443359375,308.5425003051758,🔴
23,5,315.6976,315.9360656738281,307.8304443359375,308.5425003051758,🔴
24,6,317.05734,318.14853515625,307.8304443359375,308.5425003051758,🟡
25,6,318.69296,319.6335876464844,307.8304443359375,308.5425003051758,🔴
26,6,320.88794,321.4686767578125,307.8304443359375,308.5425003051758,🔴
27,6,322.65005,323.80574188232424,307.8304443359375,308.5425003051758,🔴
28,7,326.64725,329.0363204956055,307.8304443359375,308.5425003051758,🟡
29,7,332.7671,336.11228332519534,307.8304443359375,308.5425003051758,🔴
30,7,286.1338,309.5099029541015,307.8304443359375,308.5425003051758,🟢
31,7,289.1036,290.8706283569336,307.8304443359375,308.5425003051758,🟢
32,8,292.57108,293.2442626953125,307.8304443359375,308.5425003051758,🟢
33,8,294.39395,295.8050033569336,307.8304443359375,308.5425003051758,🟢
34,8,298.7983,300.99200439453125,307.8304443359375,308.5425003051758,🟢
35,8,302.92032,304.35784912109375,307.8304443359375,308.5425003051758,🟢
36,9,306.62332,308.5420455932617,297.1708984375,303.7357208251953,🟡
37,9,310.86246,311.8711441040039,297.1708984375,303.7357208251953,🟡
38,9,313.8428,315.360124206543,297.1708984375,303.7357208251953,🔴
39,9,316.50333,317.57435455322263,297.1708984375,303.7357208251953,🔴
40,10,317.96017,318.2538665771484,297.1708984375,303.7357208251953,🟡
41,10,320.00674,320.77313842773435,297.1708984375,303.7357208251953,🔴
42,10,320.77856,321.5791976928711,297.1708984375,303.7357208251953,🔴
43,10,321.54312,321.6683654785156,297.1708984375,303.7357208251953,🔴
44,11,321.28757,321.6006607055664,297.1708984375,303.7357208251953,🟡
45,11,321.46063,321.7247055053711,297.1708984375,303.7357208251953,🔴
46,11,321.23422,321.3571380615234,297.1708984375,303.7357208251953,🔴
47,11,320.7042,321.2451568603516,297.1708984375,303.7357208251953,🔴
48,12,321.55103,321.96178741455077,297.1708984375,303.7357208251953,🟡
49,12,322.4781,322.8175811767578,297.1708984375,303.7357208251953,🔴
50,12,322.73795,322.9712738037109,297.1708984375,303.7357208251953,🔴
51,12,324.17664,324.6689483642578,297.1708984375,303.7357208251953,🔴
52,13,325.09775,326.0564788818359,297.1708984375,303.7357208251953,🟡
53,13,327.58813,328.0230453491211,297.1708984375,303.7357208251953,🔴
54,13,329.60593,330.934065246582,297.1708984375,303.7357208251953,🔴
55,13,332.9885,334.2886032104492,297.1708984375,303.7357208251953,🔴
56,14,337.47623,339.48718109130857,297.1708984375,303.7357208251953,🟡
57,14,343.25818,346.59103240966795,297.1708984375,303.7357208251953,🔴
58,14,347.88632,359.6278991699219,297.1708984375,303.7357208251953,🔴
59,14,294.58725,298.1377456665039,297.1708984375,303.7357208251953,🟢
60,15,300.8723,302.60435180664064,297.1708984375,303.7357208251953,🟢
61,15,304.39822,306.06192169189455,297.1708984375,303.7357208251953,🟡
62,15,307.63617,308.28602294921876,297.1708984375,303.7357208251953,🟡
63,15,310.57272,312.57039947509764,297.1708984375,303.7357208251953,🟡
64,16,315.50302,317.5989273071289,305.869873046875,311.96342315673826,🟡
65,16,320.50586,322.12620544433594,305.869873046875,311.96342315673826,🟡
66,16,324.6191,326.6874725341797,305.869873046875,311.96342315673826,🔴
67,16,328.7156,329.60788879394534,305.869873046875,311.96342315673826,🔴
68,17,330.90485,332.154362487793,305.869873046875,311.96342315673826,🟡
69,17,332.76907,333.4488800048828,305.869873046875,311.96342315673826,🔴
70,17,333.55203,334.3359313964844,305.869873046875,311.96342315673826,🔴
71,17,334.18756,335.21323852539064,305.869873046875,311.96342315673826,🔴
72,18,334.5931,335.43480072021487,305.869873046875,311.96342315673826,🟡
73,18,334.78433,335.0734436035156,305.869873046875,311.96342315673826,🔴
74,18,333.6231,334.10634460449216,305.869873046875,311.96342315673826,🔴
75,18,333.83243,334.1006713867188,305.869873046875,311.96342315673826,🔴
76,19,334.3397,334.96950073242186,305.869873046875,311.96342315673826,🟡
77,19,335.09836,335.41668701171875,305.869873046875,311.96342315673826,🔴
78,19,336.42007,336.8916381835937,305.869873046875,311.96342315673826,🔴
79,19,338.90292,340.52206268310545,305.869873046875,311.96342315673826,🔴
80,20,340.88834,343.4169128417969,305.869873046875,311.96342315673826,🟡
81,20,345.6039,346.45348663330077,305.869873046875,311.96342315673826,🔴
82,20,349.93835,352.15457305908205,305.869873046875,311.96342315673826,🔴
83,20,356.10095,359.29697570800784,305.869873046875,311.96342315673826,🔴
84,21,368.22195,374.83491973876954,305.869873046875,311.96342315673826,🟡
85,21,329.5848,379.64971923828125,305.869873046875,311.96342315673826,🔴
86,21,308.70236,309.18117065429686,305.869873046875,311.96342315673826,🟢
87,21,310.1252,310.96583404541013,305.869873046875,311.96342315673826,🟡
88,22,311.6487,312.21419830322264,305.869873046875,311.96342315673826,🟡
89,22,314.98068,316.23675231933595,305.869873046875,311.96342315673826,🟡
90,22,319.01416,321.3659423828125,305.869873046875,311.96342315673826,🟡
91,22,323.87866,326.5320541381836,305.869873046875,311.96342315673826,🔴
92,23,329.8398,331.9813430786133,305.869873046875,311.96342315673826,🟡
93,23,334.9468,337.3044708251953,305.869873046875,311.96342315673826,🔴
94,23,338.90018,340.6497406005859,305.869873046875,311.96342315673826,🔴
95,23,340.80103,342.2084594726563,305.869873046875,311.96342315673826,🔴
96,24,344.00232,344.9686813354492,305.869873046875,311.96342315673826,🟡
97,24,343.1454,343.79444580078126,305.869873046875,311.96342315673826,🔴
98,24,344.07956,344.7964599609375,305.869873046875,311.96342315673826,🔴
99,24,344.28787,344.83461608886716,305.869873046875,311.96342315673826,🔴
100,25,344.30185,344.8863723754883,305.869873046875,311.96342315673826,🟡
101,25,344.20316,345.3326141357422,305.869873046875,311.96342315673826,🔴
102,25,344.54874,345.88458251953125,305.869873046875,311.96342315673826,🔴
103,25,345.2787,345.4950973510742,305.869873046875,311.96342315673826,🔴
104,26,345.23584,346.3445419311523,305.869873046875,311.96342315673826,🟡
105,26,346.288,347.20283966064454,305.869873046875,311.96342315673826,🔴
106,26,348.9767,349.79038391113284,305.869873046875,311.96342315673826,🔴
107,26,350.25635,351.75458984375,305.869873046875,311.96342315673826,🔴
108,27,357.7122,359.1846862792969,305.869873046875,311.96342315673826,🟡
109,27,360.74402,364.2935043334961,305.869873046875,311.96342315673826,🔴
110,27,368.79056,372.6279541015625,305.869873046875,311.96342315673826,🔴
111,27,381.578,389.20811614990237,305.869873046875,311.96342315673826,🔴
112,28,380.8557,400.4920623779297,305.869873046875,311.96342315673826,🟡
113,28,343.69235,348.2726318359375,305.869873046875,311.96342315673826,🔴
114,28,337.99115,338.6339599609375,305.869873046875,311.96342315673826,🔴
115,28,336.86368,337.6484375,305.869873046875,311.96342315673826,🔴
116,29,337.2714,338.2073715209961,305.869873046875,311.96342315673826,🟡
117,29,338.817,340.07266387939455,305.869873046875,311.96342315673826,🔴
118,29,338.45975,339.17334442138673,305.869873046875,311.96342315673826,🔴
119,29,340.58978,342.39049072265624,305.869873046875,311.96342315673826,🔴
120,30,341.65048,342.9888214111328,305.869873046875,311.96342315673826,🟡
121,30,345.03568,346.3752136230469,305.869873046875,311.96342315673826,🔴
122,30,345.89297,346.33685302734375,305.869873046875,311.96342315673826,🔴
123,30,346.23874,347.2289215087891,305.869873046875,311.96342315673826,🔴
124,31,344.8918,346.0917709350586,305.869873046875,311.96342315673826,🟡
125,31,344.13943,345.12725219726565,305.869873046875,311.96342315673826,🔴
126,31,345.1979,345.7073348999023,305.869873046875,311.96342315673826,🔴
127,31,344.9529,345.49361419677734,305.869873046875,311.96342315673826,🔴
128,32,344.65646,345.6761840820312,305.869873046875,311.96342315673826,🟡
129,32,344.36923,344.9010772705078,305.869873046875,311.96342315673826,🔴
130,32,343.8787,344.8365112304688,305.869873046875,311.96342315673826,🔴
131,32,348.32202,350.14007568359375,305.869873046875,311.96342315673826,🔴
132,33,349.51416,351.70452880859375,305.869873046875,311.96342315673826,🟡
133,33,353.34634,354.44341430664065,305.869873046875,311.96342315673826,🔴
134,33,357.74158,362.5272491455078,305.869873046875,311.96342315673826,🔴
135,33,368.03214,372.47714080810545,305.869873046875,311.96342315673826,🔴
136,34,377.1566,381.4984298706055,305.869873046875,311.96342315673826,🟡
137,34,389.2787,395.01182708740237,305.869873046875,311.96342315673826,🔴
138,34,372.27722,403.20992889404295,305.869873046875,311.96342315673826,🔴
139,34,346.67654,349.8250961303711,305.869873046875,311.96342315673826,🔴
140,35,342.8274,344.3657196044922,305.869873046875,311.96342315673826,🟡
141,35,341.38547,341.79213562011716,305.869873046875,311.96342315673826,🔴
142,35,340.5631,341.40783233642577,305.869873046875,311.96342315673826,🔴
143,35,340.92862,342.4421951293945,305.869873046875,311.96342315673826,🔴
144,36,343.72397,344.7507690429687,305.869873046875,311.96342315673826,🟡
145,36,345.40015,345.8905654907227,305.869873046875,311.96342315673826,🔴
146,36,346.88492,347.3966888427734,305.869873046875,311.96342315673826,🔴
147,36,348.077,348.9821533203125,305.869873046875,311.96342315673826,🔴
148,37,349.4564,350.1660873413086,305.869873046875,311.96342315673826,🟡
149,37,348.23257,349.49513549804686,305.869873046875,311.96342315673826,🔴
150,37,349.96436,350.38368835449216,305.869873046875,311.96342315673826,🔴
151,37,349.66458,351.1993911743164,305.869873046875,311.96342315673826,🔴
152,38,351.696,352.0919189453125,305.869873046875,311.96342315673826,🟡
153,38,353.06778,354.5630569458008,305.869873046875,311.96342315673826,🔴
154,38,357.81628,359.4916687011719,305.869873046875,311.96342315673826,🔴
155,38,360.71225,361.26407012939455,305.869873046875,311.96342315673826,🔴
156,39,364.3905,365.4414764404297,305.869873046875,311.96342315673826,🟡
157,39,371.6099,375.43446960449216,305.869873046875,311.96342315673826,🔴
158,39,380.69873,384.65838317871095,305.869873046875,311.96342315673826,🔴
159,39,389.52258,393.17197570800784,305.869873046875,311.96342315673826,🔴
160,40,398.6304,402.5062957763672,305.869873046875,311.96342315673826,🟡
161,40,410.07333,415.75353240966797,305.869873046875,311.96342315673826,🔴
162,40,424.14645,433.2125671386719,305.869873046875,311.96342315673826,🔴
