timestamp,week_index,month_index,weekly_mean_error,weekly_p95_error,decision,shadow_mode
2026-01-14T12:46:22.605011,0,0,281.51346,289.669189453125,🟢,True
2026-01-14T12:46:22.605219,1,0,292.4514,293.69581909179686,🟢,True
2026-01-14T12:46:22.605396,2,0,294.88602,295.46238861083987,🟢,True
2026-01-14T12:46:22.605568,3,0,295.87918,296.0612228393555,🟢,True
2026-01-14T12:46:22.605874,4,1,297.9038,299.25391998291013,🟢,True
2026-01-14T12:46:22.606054,5,1,300.25565,301.2978759765625,🟡,True
2026-01-14T12:46:22.606229,6,1,302.3185,303.12852935791017,🟡,True
2026-01-14T12:46:22.606411,7,1,304.37103,304.9732299804688,🟡,True
2026-01-14T12:46:22.606671,8,2,305.52536,306.0337188720703,🟡,True
2026-01-14T12:46:22.606844,9,2,305.99936,306.17322692871096,🟡,True
2026-01-14T12:46:22.607013,10,2,306.434,306.70381927490234,🟡,True
2026-01-14T12:46:22.607183,11,2,308.1424,309.14539489746096,🟡,True
2026-01-14T12:46:22.607427,12,3,308.71725,309.4016738891602,🟡,True
2026-01-14T12:46:22.607597,13,3,308.65527,308.93782501220704,🟡,True
2026-01-14T12:46:22.607764,14,3,307.8271,307.9753448486328,🟡,True
2026-01-14T12:46:22.607930,15,3,307.26843,307.5511932373047,🟢,True
2026-01-14T12:46:22.608170,16,4,306.93277,307.23250579833984,🟢,True
2026-01-14T12:46:22.608338,17,4,308.28607,308.55406951904297,🟢,True
2026-01-14T12:46:22.608505,18,4,308.09225,308.288591003418,🟢,True
2026-01-14T12:46:22.608672,19,4,308.0107,308.5968811035156,🟢,True
2026-01-14T12:46:22.608909,20,5,310.07956,311.4645065307617,🟡,True
2026-01-14T12:46:22.609076,21,5,312.8128,313.426936340332,🔴,True
2026-01-14T12:46:22.609241,22,5,314.6167,315.4750946044922,🔴,True
2026-01-14T12:46:22.609405,23,5,315.6976,315.9360656738281,🔴,True
2026-01-14T12:46:22.609575,24,6,317.05734,318.14853515625,🟡,True
2026-01-14T12:46:22.609748,25,6,318.69296,319.6335876464844,🔴,True
2026-01-14T12:46:22.609921,26,6,320.88794,321.4686767578125,🔴,True
2026-01-14T12:46:22.610086,27,6,322.65005,323.80574188232424,🔴,True
2026-01-14T12:46:22.610258,28,7,326.64725,329.0363204956055,🟡,True
2026-01-14T12:46:22.610446,29,7,332.7671,336.11228332519534,🔴,True
2026-01-14T12:46:22.610614,30,7,286.1338,309.5099029541015,🟢,True
2026-01-14T12:46:22.610777,31,7,289.1036,290.8706283569336,🟢,True
2026-01-14T12:46:22.610964,32,8,292.57108,293.2442626953125,🟢,True
2026-01-14T12:46:22.611141,33,8,294.39395,295.8050033569336,🟢,True
2026-01-14T12:46:22.611306,34,8,298.7983,300.99200439453125,🟢,True
2026-01-14T12:46:22.611470,35,8,302.92032,304.35784912109375,🟢,True
2026-01-14T12:46:22.611710,36,9,306.62332,308.5420455932617,🟡,True
2026-01-14T12:46:22.611875,37,9,310.86246,311.8711441040039,🟡,True
2026-01-14T12:46:22.612040,38,9,313.8428,315.360124206543,🔴,True
2026-01-14T12:46:22.612204,39,9,316.50333,317.57435455322263,🔴,True
2026-01-14T12:46:22.612373,40,10,317.96017,318.2538665771484,🟡,True
2026-01-14T12:46:22.612537,41,10,320.00674,320.77313842773435,🔴,True
2026-01-14T12:46:22.612717,42,10,320.77856,321.5791976928711,🔴,True
2026-01-14T12:46:22.612919,43,10,321.54312,321.6683654785156,🔴,True
2026-01-14T12:46:22.613130,44,11,321.28757,321.6006607055664,🟡,True
2026-01-14T12:46:22.613332,45,11,321.46063,321.7247055053711,🔴,True
2026-01-14T12:46:22.613518,46,11,321.23422,321.3571380615234,🔴,True
2026-01-14T12:46:22.613700,47,11,320.7042,321.2451568603516,🔴,True
2026-01-14T12:46:22.613917,48,12,321.55103,321.96178741455077,🟡,True
2026-01-14T12:46:22.614108,49,12,322.4781,322.8175811767578,🔴,True
2026-01-14T12:46:22.614297,50,12,322.73795,322.9712738037109,🔴,True
2026-01-14T12:46:22.614481,51,12,324.17664,324.6689483642578,🔴,True
2026-01-14T12:46:22.614676,52,13,325.09775,326.0564788818359,🟡,True
2026-01-14T12:46:22.614883,53,13,327.58813,328.0230453491211,🔴,True
2026-01-14T12:46:22.615086,54,13,329.60593,330.934065246582,🔴,True
2026-01-14T12:46:22.615266,55,13,332.9885,334.2886032104492,🔴,True
2026-01-14T12:46:22.615455,56,14,337.47623,339.48718109130857,🟡,True
2026-01-14T12:46:22.615626,57,14,343.25818,346.59103240966795,🔴,True
2026-01-14T12:46:22.615795,58,14,347.88632,359.6278991699219,🔴,True
2026-01-14T12:46:22.615964,59,14,294.58725,298.1377456665039,🟢,True
2026-01-14T12:46:22.616144,60,15,300.8723,302.60435180664064,🟢,True
2026-01-14T12:46:22.616312,61,15,304.39822,306.06192169189455,🟡,True
2026-01-14T12:46:22.616958,62,15,307.63617,308.28602294921876,🟡,True
2026-01-14T12:46:22.617130,63,15,310.57272,312.57039947509764,🟡,True
2026-01-14T12:46:22.617305,64,16,315.50302,317.5989273071289,🟡,True
2026-01-14T12:46:22.617374,65,16,320.50586,322.12620544433594,🟡,True
2026-01-14T12:46:22.617440,66,16,324.6191,326.6874725341797,🔴,True
2026-01-14T12:46:22.617496,67,16,328.7156,329.60788879394534,🔴,True
2026-01-14T12:46:22.617555,68,17,330.90485,332.154362487793,🟡,True
2026-01-14T12:46:22.617610,69,17,332.76907,333.4488800048828,🔴,True
2026-01-14T12:46:22.617664,70,17,333.55203,334.3359313964844,🔴,True
2026-01-14T12:46:22.617720,71,17,334.18756,335.21323852539064,🔴,True
2026-01-14T12:46:22.617777,72,18,334.5931,335.43480072021487,🟡,True
2026-01-14T12:46:22.617837,73,18,334.78433,335.0734436035156,🔴,True
2026-01-14T12:46:22.617892,74,18,333.6231,334.10634460449216,🔴,True
2026-01-14T12:46:22.617944,75,18,333.83243,334.1006713867188,🔴,True
2026-01-14T12:46:22.617999,76,19,334.3397,334.96950073242186,🟡,True
